FiscalYear,RebalanceDate,Strategy,n_selected,n_priced,n_delisted_zero,n_price_missing,return
2018,2019-03-31,gap_top_5pct,2,2,0,0,0.16630539445697345
2018,2019-03-31,gap_top_10pct,4,4,0,0,0.11119098740189567
2018,2019-03-31,gap_top_20pct,9,9,0,0,0.007572066803138575
2018,2019-03-31,gap_top_30pct,14,14,0,0,0.01398389477923385
2019,2020-03-31,gap_top_5pct,2,2,0,0,0.5646007494260912
2019,2020-03-31,gap_top_10pct,5,5,0,0,0.7820376528266635
2019,2020-03-31,gap_top_20pct,10,10,0,0,0.7898761431096204
2019,2020-03-31,gap_top_30pct,15,15,0,0,0.6998803286261165
2020,2021-03-31,gap_top_5pct,2,2,0,0,0.6457879852987656
2020,2021-03-31,gap_top_10pct,5,5,0,0,0.4310925140413947
2020,2021-03-31,gap_top_20pct,11,11,0,0,0.2983987310337744
2020,2021-03-31,gap_top_30pct,16,16,0,0,0.2041480098042613
2021,2022-03-31,gap_top_5pct,3,3,0,0,-0.015322970424353119
2021,2022-03-31,gap_top_10pct,6,6,0,0,-0.054505775268847846
2021,2022-03-31,gap_top_20pct,12,12,0,0,-0.061420020476813435
2021,2022-03-31,gap_top_30pct,18,18,0,0,-0.03561253190140524
2022,2023-03-31,gap_top_5pct,3,3,0,0,0.5984889714961826
2022,2023-03-31,gap_top_10pct,6,6,0,0,0.9689428512244791
2022,2023-03-31,gap_top_20pct,12,12,0,0,0.6547794845786399
2022,2023-03-31,gap_top_30pct,19,19,0,0,0.5048835727969382
2023,2024-03-31,gap_top_5pct,3,3,0,0,0.18789152954868882
2023,2024-03-31,gap_top_10pct,6,6,0,0,0.03522209468095525
2023,2024-03-31,gap_top_20pct,13,13,0,0,0.04035239604166811
2023,2024-03-31,gap_top_30pct,20,20,0,0,-0.02372202684658558
2024,2025-03-31,gap_top_5pct,3,3,0,0,0.8201070223526363
2024,2025-03-31,gap_top_10pct,7,7,0,0,0.758579129755715
2024,2025-03-31,gap_top_20pct,14,14,0,0,0.8448778064552744
2024,2025-03-31,gap_top_30pct,21,21,0,0,0.7207347328560607
